#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
126120000 ; 4.60594 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
126214000 ; 4.61933 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
126314000 ; 4.56089 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
126407000 ; 4.64733 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
126499000 ; 4.57794 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
126597000 ; 4.60594 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
126691000 ; 4.60837 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
126784000 ; 4.61202 ; 3.30101 ; 0 ; 0 ; Unknown ; Unknown ; -1
126870000 ; 4.55602 ; 3.30116 ; 0 ; 0 ; Unknown ; Unknown ; -1
126963000 ; 0.00162927 ; 3.30215 ; 0 ; 0 ; Unknown ; Unknown ; -1
127055000 ; 0.00107613 ; 3.30086 ; 0 ; 0 ; Unknown ; Unknown ; -1
127148000 ; 0.00103417 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
127233000 ; 0.00143853 ; 3.30185 ; 0 ; 0 ; Unknown ; Unknown ; -1
127326000 ; 0.00125543 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
127420000 ; 0.00138894 ; 3.30109 ; 0 ; 0 ; Unknown ; Unknown ; -1
127519000 ; 0.00121728 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
127613000 ; 0.00194207 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
127707000 ; 0.00110665 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
127800000 ; 0.00122872 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
127893000 ; 0.00132409 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
127995000 ; 0.00176659 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
128090000 ; 0.0012478 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
128176000 ; 0.0011715 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
128261000 ; 0.000992211 ; 3.30147 ; 0 ; 0 ; Unknown ; Unknown ; -1
128355000 ; 0.00153008 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
128441000 ; 0.00174371 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
128526000 ; 0.00112573 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
128619000 ; 0.00189629 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
128712000 ; 0.000996026 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
128797000 ; 0.00151482 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
128885000 ; 0.00133553 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
128969000 ; 0.00151482 ; 3.302 ; 0 ; 0 ; Unknown ; Unknown ; -1
129062000 ; 0.00146905 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
129154000 ; 0.000873956 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
129242000 ; 0.00100366 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
129335000 ; 0.00152245 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
129428000 ; 0.00142327 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
129521000 ; 0.00116387 ; 3.29918 ; 0 ; 0 ; Unknown ; Unknown ; -1
129617000 ; 0.00106851 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
129710000 ; 0.00144997 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
129804000 ; 4.64733 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
129891000 ; 4.70699 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
129987000 ; 4.6449 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
130072000 ; 4.59863 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
130164000 ; 4.63394 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
130257000 ; 4.59863 ; 3.29926 ; 0 ; 0 ; Unknown ; Unknown ; -1
130350000 ; 4.60472 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
130443000 ; 4.60837 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
130536000 ; 4.59742 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
130625000 ; 4.61689 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
130719000 ; 4.59376 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
130812000 ; 4.6242 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
130899000 ; 4.63272 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
130983000 ; 4.56941 ; 3.30193 ; 0 ; 0 ; Unknown ; Unknown ; -1
131068000 ; 4.58768 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
131161000 ; 4.49758 ; 3.29987 ; 0 ; 0 ; Unknown ; Unknown ; -1
131254000 ; 4.60959 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
131348000 ; 4.59255 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
131441000 ; 4.65098 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
131536000 ; 4.60837 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
131623000 ; 4.6729 ; 3.30177 ; 0 ; 0 ; Unknown ; Unknown ; -1
131712000 ; 4.62542 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
131798000 ; 4.55967 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
131884000 ; 4.50854 ; 3.302 ; 0 ; 0 ; Unknown ; Unknown ; -1
131977000 ; 4.59863 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
132070000 ; 4.60107 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
132162000 ; 4.63029 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
132248000 ; 4.6315 ; 3.30063 ; 0 ; 0 ; Unknown ; Unknown ; -1
132341000 ; 4.63516 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
132434000 ; 4.66681 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
132527000 ; 4.60715 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
